Page Number,Recipe Name,Category,Keywords
2,Classic Chicken Noodle Soup,Soups & Stews,
3,Hearty Chicken Noodle Soup,Soups & Stews,
4,Old-Fashioned Slow-Cooker Chicken Noodle Soup,Soups & Stews,
4,Pressure-Cooker Chicken Noodle Soup,Soups & Stews,
4,Pressure-Cooker Chicken and Rice Soup,Soups & Stews,
5,Avgolemono,Soups & Stews,mediterranean 
5,Best Beef Stew,Soups & Stews,
6,Hearty Beef and Vegetable Stew,Soups & Stews,
7,Tuscan-Style Beef Stew,Soups & Stews,"italian"
8,Portuguese-Style Beef Stew (Alcatra),Soups & Stews,"european"
8,Our Favorite Chili,Soups & Stews,
9,Best Ground Beef Chili,Soups & Stews,
10,Vietnamese Beef Pho,Soups & Stews,"asian"
10,Quick Beef and Vegetable Soup,Soups & Stews,
12,Thai Chili Jam (Nam Prik Pao),Sauces & Condiments,"asian"
12,Thai Hot and Sour Noodle Soup with Shrimp (Guay Tiew Tom Yum Goong),Soups & Stews,"asian"
13,Classic Cream of Tomato Soup,Soups & Stews,
13,Quinoa and Vegetable Stew with Eggs,Soups & Stews,
13,Quinoa and Vegetable Stew,Soups & Stews,
14,Classic Croutons,Sauces & Condiments,
14,Creamless Creamy Tomato Soup,Soups & Stews,
15,Buttery Croutons,Sauces & Condiments,
15,Creamy Pea Soup,Soups & Stews,
15,Carrot-Ginger Soup,Soups & Stews,
16,Creamy Cauliflower Soup,Soups & Stews,
17,Sautéed Wild Mushrooms,Appetizers & Small Plates,
17,Creamy Mushroom Soup,Soups & Stews,
18,Fried Shallots,Sauces & Condiments,
18,Mushroom Bisque,Soups & Stews,
