name,page,category,tags,url,pageStatus
Virginia Beaten Biscuit,1,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n16,verified
Southern Sweet-Potato Biscuits,1,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n16,verified
Johnny Reb Cake,1,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n16,verified
Spoon Bread,3,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n18,verified
Cinnamon Toast,3,Breakfast & Brunch,,https://archive.org/details/auntcarolinesdix00mckirich/page/n18,verified
Piedmont Corn Meal Mush,3,Breakfast & Brunch,,https://archive.org/details/auntcarolinesdix00mckirich/page/n18,verified
Virginia Corn Fritters,5,Sides,,https://archive.org/details/auntcarolinesdix00mckirich/page/n20,verified
French Toast,5,Breakfast & Brunch,,https://archive.org/details/auntcarolinesdix00mckirich/page/n20,verified
Mammy's Graham Muffins,5,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n20,verified
Aunt Caroline's Corn Bread,7,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n22,verified
Bolted Corn Meal Bread,7,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n22,verified
Mammy's Light Rolls,9,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n24,verified
Golden Toast,9,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n24,verified
Virginia Waffles,11,Breakfast & Brunch,,https://archive.org/details/auntcarolinesdix00mckirich/page/n26,verified
Cotton Blossom Popovers,11,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n26,verified
Dixie Biscuit,13,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n28,verified
Flour Muffins,13,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n28,verified
Baltimore Egg Bread,15,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n30,verified
Griddle Cakes,15,Breakfast & Brunch,,https://archive.org/details/auntcarolinesdix00mckirich/page/n30,verified
Jeff Davis Muffins,17,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n32,verified
Carolina Corn Meal Rolls,19,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n34,verified
Carolina Brown Bread,19,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n34,verified
Salt Rising Bread,21,Breads,,https://archive.org/details/auntcarolinesdix00mckirich/page/n36,verified
Egg Nog- Maryland Style,23,Breakfast & Brunch,,https://archive.org/details/auntcarolinesdix00mckirich/page/n38,verified
Swanee Fruit Punch,23,Drinks,,https://archive.org/details/auntcarolinesdix00mckirich/page/n38,verified
Louisiana Coffee,23,Drinks,,https://archive.org/details/auntcarolinesdix00mckirich/page/n38,verified
Tea. Southern Style,25,Drinks,,https://archive.org/details/auntcarolinesdix00mckirich/page/n40,verified
Iced Tea,25,Drinks,,https://archive.org/details/auntcarolinesdix00mckirich/page/n40,verified
Uncle Remus Mint Julep,27,Drinks,,https://archive.org/details/auntcarolinesdix00mckirich/page/n42,verified
Devil's Food Cake,29,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n44,verified
Filling for Devil's Food Cake,29,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n44,verified
Old Dominion Cake,31,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n46,verified
Filling for Old Dominion Cake,31,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n46,verified
Angels' Food Cake,31,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n46,verified
Magnolia Sponge Cake,33,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n48,verified
Filling for Magnolia Sponge Cake,31,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n46,verified
Tutti Frutti Cake,33,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n48,verified
Brides Cake,33,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n48,verified
Ponciania Cake,35,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n50,verified
Sally White Cake,35,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n50,verified
Cabin Cake,37,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n52,verified
Filling for Cabin Cake,37,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n52,verified
Pride of Kentucky Cake,37,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n52,verified
Gold and White Anniversary Cake,39,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n54,verified
Filling for Anniversary Cake,39,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n54,verified
Marguerites,39,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n54,verified
Apple Sauce Cake,41,Sauces & Condiments,,https://archive.org/details/auntcarolinesdix00mckirich/page/n56,verified
Betsy Ross Pound Cake,41,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n56,verified
Marshmallow Filling,41,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n56,verified
Martha Washington Cake,43,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n58,verified
Filling for Martha Washington Cake,43,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n58,verified
Pickaninny Cookies,39,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n54,verified
Virginia Doughnuts,45,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n60,verified
Plantation Cookies,45,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n60,verified
Jelly Roll Cake,47,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n62,verified
Aunt Sug's Nut Cookies,47,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n62,verified
Ginger Snaps,49,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n64,verified
Mason and Dixon Cookies,49,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n64,verified
U. D. C. Cocoanut Candy,53,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n68,verified
Mexican Kisses,53,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n68,verified
Mammy's Peanut Candy,53,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n68,verified
Divinity Candy,55,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n70,verified
Chocolate Caramels,55,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n70,verified
Old Virginia Molasses Taffy,57,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n72,verified
Cream Peppermint Drops,57,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n72,verified
Peanut Butter Fudge,59,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n74,verified
Chocolate Fudge,61,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n76,verified
Sea-Foam Candy,61,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n76,verified
"Fried Chicken, Virginia Style",63,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n78,verified
Creole Veal Patties,63,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n78,verified
Sugar Cured Ham Loaf,63,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n78,verified
Baked Rice and Ham,65,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n80,verified
Martha Washington Cheese Pudding,65,Desserts,,https://archive.org/details/auntcarolinesdix00mckirich/page/n80,verified
Uncle Remus Omelette,65,Breakfast & Brunch,,https://archive.org/details/auntcarolinesdix00mckirich/page/n80,verified
Liver Fricasee,69,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n84,verified
"Breaded Pork Chops, Philadelphia Style",69,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n84,verified
Salmon Croquettes,69,Sides,,https://archive.org/details/auntcarolinesdix00mckirich/page/n84,verified
Creamed Oysters,71,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n86,verified
Deviled Crabs,71,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n86,verified
Awit Caroline's Beef Loaf,71,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n86,verified
Mammy's Chicken Patties,73,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n88,verified
Carolina Broiled Steak,73,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n88,verified
Massas' Qieese Croquettes,75,Sides,,https://archive.org/details/auntcarolinesdix00mckirich/page/n90,verified
Oysters with Macaroni,75,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n90,verified
Scalloped Oysters,75,Sides,,https://archive.org/details/auntcarolinesdix00mckirich/page/n90,verified
Creamed Dried Beef With Cheese,11,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n26,verified
Cheese Straws,11,Sides,,https://archive.org/details/auntcarolinesdix00mckirich/page/n26,verified
Chicken A La King,11,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n26,verified
Southern Hash,79,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n94,verified
Mammy's Veal Loaf,79,Mains,,https://archive.org/details/auntcarolinesdix00mckirich/page/n94,verified
Chicken Croquettes,79,Sides,,https://archive.org/details/auntcarolinesdix00mckirich/page/n94,verified
Cream Sauce,81,Sauces & Condiments,,https://archive.org/details/auntcarolinesdix00mckirich/page/n96,verified
Aunt Caroline's Own Pickle,83,Preserves & Pickles,,https://archive.org/details/auntcarolinesdix00mckirich/page/n98,verified
Georgia Watermelon Rind Pickle,83,Preserves & Pickles,,https://archive.org/details/auntcarolinesdix00mckirich/page/n98,verified
Apple Relish,85,Sauces & Condiments,,https://archive.org/details/auntcarolinesdix00mckirich/page/n100,verified
Corn Relish,85,Sauces & Condiments,,https://archive.org/details/auntcarolinesdix00mckirich/page/n100,verified
Bell Pepper Relish,87,Sauces & Condiments,,https://archive.org/details/auntcarolinesdix00mckirich/page/n102,verified
Green Tomato Pickle,87,Preserves & Pickles,,https://archive.org/details/auntcarolinesdix00mckirich/page/n102,verified
Stuffed Peppers,89,Sides,,https://archive.org/details/auntcarolinesdix00mckirich/page/n104,verified
Peach Pickle,91,Preserves & Pickles,,https://archive.org/details/auntcarolinesdix00mckirich/page/n106,verified
