name,page,guessed_category,confidence
Southern Pastry,15,Uncategorized,0.00
Sally Lunn,17,Uncategorized,0.00
Hot Chocolate,25,Drinks,0.40
Dewberry Vinegar,27,Uncategorized,0.00
Almonds Creamed,55,Desserts,0.40
After Dinner Mints,59,Uncategorized,0.00
Perlean,81,Uncategorized,0.00
Tar Heel Chow Chow,83,Uncategorized,0.00
Picalli,89,Uncategorized,0.00
Chess Pies,95,Desserts,0.40
Food For The Gods,95,Uncategorized,0.00
Syllabub,97,Uncategorized,0.00
Cream Puffs,101,Desserts,0.40
Brown Betty,101,Uncategorized,0.00
