name,page,category,tags,url,pageStatus
Apple Strudel,221,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n226,verified
"Coffee, Swedish",113,Breads,,https://archive.org/details/calendarofdinner00neiluoft/page/n118,verified
Corn,100,Breads,,https://archive.org/details/calendarofdinner00neiluoft/page/n105,verified
"Fruit, Yorkshire",114,Breads,,https://archive.org/details/calendarofdinner00neiluoft/page/n119,verified
Hominy,105,Breakfast & Brunch,,https://archive.org/details/calendarofdinner00neiluoft/page/n110,verified
Raisin and Buttermilk,109,Breads,,https://archive.org/details/calendarofdinner00neiluoft/page/n114,verified
Raisin and Nut,221,Breads,,https://archive.org/details/calendarofdinner00neiluoft/page/n226,verified
Rolled Oats,109,Breakfast & Brunch,,https://archive.org/details/calendarofdinner00neiluoft/page/n114,verified
Baking Powder Biscuit,97,Breads,,https://archive.org/details/calendarofdinner00neiluoft/page/n102,verified
Cream Candy,145,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n150,verified
Crisco Drops,145,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n150,verified
Crisco Fruit Fudge,145,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n150,verified
Everton Taffy,145,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n150,verified
Fig Fudge,146,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n151,verified
Maple Candy,146,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n151,verified
Molasses Candy,146,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n151,verified
Peanut Fudge,147,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n152,verified
Canapes,161,Sides,appetizer,https://archive.org/details/calendarofdinner00neiluoft/page/n166,verified
Cheese Balls,196,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n201,verified
Croutons,214,Breads,,https://archive.org/details/calendarofdinner00neiluoft/page/n219,verified
Fondue,219,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n224,verified
Ramekins,151,Sides,appetizer,https://archive.org/details/calendarofdinner00neiluoft/page/n156,verified
Almond Fingers,211,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n216,verified
Chocolate Wafers,99,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n104,verified
Chocolate Brownies,99,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n104,verified
Crisco Brownies,101,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n106,verified
Filled Cookies,102,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n107,verified
Fruit Cookies,103,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n108,verified
Ginger Snaps,104,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n109,verified
Maple Cookies,107,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n112,verified
Oatmeal Cookies,108,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n113,verified
Shortbread,111,Breads,,https://archive.org/details/calendarofdinner00neiluoft/page/n116,verified
Spice Cookies,112,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n117,verified
White Cookies,114,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n119,verified
Bean,178,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n183,verified
Beef,193,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n198,verified
Chicken,195,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n200,verified
Chestnut Boulettes,231,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n236,verified
Potato,152,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n157,verified
Potato and Nut,136,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n141,verified
Salmon,155,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n160,verified
Tomato,228,Sides,,https://archive.org/details/calendarofdinner00neiluoft/page/n233,verified
Caramel Custard,178,Desserts,,https://archive.org/details/calendarofdinner00neiluoft/page/n183,verified
Eggs with Cucumber,141,Breakfast & Brunch,,https://archive.org/details/calendarofdinner00neiluoft/page/n146,verified
Eggs with Tomatoes,141,Breakfast & Brunch,,https://archive.org/details/calendarofdinner00neiluoft/page/n146,verified
"Egg Sandwiches, Fried",85,Breakfast & Brunch,,https://archive.org/details/calendarofdinner00neiluoft/page/n90,verified
Apricot Omelet,200,Breakfast & Brunch,,https://archive.org/details/calendarofdinner00neiluoft/page/n205,verified
"Cod, Curried",54,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n59,verified
"Cod, Steamed",218,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n223,verified
"Crabs, Dressed Fish, Fried",53,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n58,verified
Fish Pudding,55,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n60,verified
"Flounder, a la Creme",54,Mains,,https://archive.org/details/calendarofdinner00neiluoft/page/n59,verified
