name,page,category,tags,url,pageStatus
Primary Soup,8,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n33,verified
Chinese Sauce,10,Sauces & Condiments,,https://archive.org/details/chinesecookbook00chan/page/n35,verified
Chinese Gravy,11,Sauces & Condiments,,https://archive.org/details/chinesecookbook00chan/page/n36,verified
Chicken Starch,14,Mains,,https://archive.org/details/chinesecookbook00chan/page/n39,verified
Chinese White Cheese,15,Sides,,https://archive.org/details/chinesecookbook00chan/page/n40,verified
Chinese Red Cheese,16,Sides,,https://archive.org/details/chinesecookbook00chan/page/n41,verified
Preparation of Secondary Vegetables,18,Sides,,https://archive.org/details/chinesecookbook00chan/page/n43,verified
Bird-nest Soup,19,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n44,verified
Chicken Mushroom Soup,21,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n46,verified
Vegetable Soup,22,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n47,verified
Duck Soup,23,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n48,verified
Pork Soup,24,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n49,verified
Fish Soup,25,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n50,verified
Noodle Soup,26,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n51,verified
Noodle Soup with Chicken and Mushrooms,28,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n53,verified
Noodle Soup in Yung Chow Style,30,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n55,verified
Noodles,31,Sides,,https://archive.org/details/chinesecookbook00chan/page/n56,verified
Fried Noodles,31,Sides,,https://archive.org/details/chinesecookbook00chan/page/n56,verified
Chicken Fried Noodles,33,Sides,,https://archive.org/details/chinesecookbook00chan/page/n58,verified
Chicken,35,Mains,,https://archive.org/details/chinesecookbook00chan/page/n60,verified
Almond Chicken,35,Mains,,https://archive.org/details/chinesecookbook00chan/page/n60,verified
Chicken Chop Suey,37,Mains,,https://archive.org/details/chinesecookbook00chan/page/n62,verified
Chestnut Chicken,38,Mains,,https://archive.org/details/chinesecookbook00chan/page/n63,verified
Chicken Hash,39,Mains,,https://archive.org/details/chinesecookbook00chan/page/n64,verified
Chicken Thread,40,Mains,,https://archive.org/details/chinesecookbook00chan/page/n65,verified
Fried Chicken,41,Mains,,https://archive.org/details/chinesecookbook00chan/page/n66,verified
Walnut Chicken,42,Mains,,https://archive.org/details/chinesecookbook00chan/page/n67,verified
Pineapple Chicken,43,Mains,,https://archive.org/details/chinesecookbook00chan/page/n68,verified
Salt Chicken,45,Mains,,https://archive.org/details/chinesecookbook00chan/page/n70,verified
Pan Chicken,46,Mains,,https://archive.org/details/chinesecookbook00chan/page/n71,verified
Bird-nest in Chicken,47,Mains,,https://archive.org/details/chinesecookbook00chan/page/n72,verified
Steamed Chicken,48,Mains,,https://archive.org/details/chinesecookbook00chan/page/n73,verified
