name,page,guessed_category,confidence
General Laws of Chinese Cooking,5,Uncategorized,0.00
Marketing,6,Uncategorized,0.00
Preliminary Recipes,8,Uncategorized,0.00
Sesamum-seed Oil,12,Uncategorized,0.00
Peanut Oil,13,Uncategorized,0.00
Soup,19,Soups & Stews,0.90
Turtle,97,Uncategorized,0.00
Steamed Turtle,97,Uncategorized,0.00
Shark,101,Uncategorized,0.00
Shark Fins,101,Uncategorized,0.00
Deer,124,Uncategorized,0.00
Deer (Lock Yok),124,Uncategorized,0.00
Winkle,126,Uncategorized,0.00
Ruby Mixed with Pearls,152,Uncategorized,0.00
Immortal Food,156,Uncategorized,0.00
Food of the God of Law Horn,157,Uncategorized,0.00
Soft Immortal ^ood,158,Uncategorized,0.00
Hard Immortal Food,159,Uncategorized,0.00
Dry Foods,160,Uncategorized,0.00
Chinese Frankfurter,161,Uncategorized,0.00
Gold and Silver Frankfurters,167,Uncategorized,0.00
Stove Party,181,Uncategorized,0.00
Cake,186,Desserts,0.85
Pudding,188,Desserts,0.80
Conclusion: The Chemistry OF Foods,193,Uncategorized,0.00
Price List of Chinese Groceries,199,Uncategorized,0.00
