name,page,guessed_category,confidence
"Acid, Acetic",12,Uncategorized,0.00
Butyric,8,Uncategorized,0.00
Citric,13,Uncategorized,0.00
Malic,12,Uncategorized,0.00
Oleic,8,Uncategorized,0.00
Oxalic,13,Uncategorized,0.00
Palmitic,8,Uncategorized,0.00
Pectic,7,Uncategorized,0.00
Pectose,7,Uncategorized,0.00
Stearic,8,Uncategorized,0.00
Tannic,13,Uncategorized,0.00
Tartaric,12,Uncategorized,0.00
Acidulated Water,597,Uncategorized,0.00
"Adults, Food Requirements of",611,Uncategorized,0.00
Albumen,2,Uncategorized,0.00
Allspice,14,Uncategorized,0.00
"Almonds, Devilled",565,Mains,0.40
Mock,146,Uncategorized,0.00
"Salted, I",535,Uncategorized,0.00
"Salted, II",536,Uncategorized,0.00
Food,450,Uncategorized,0.00
Ginger,570,Uncategorized,0.00
Pie I,467,Desserts,0.40
Pie II,467,Desserts,0.40
Porcupine,570,Uncategorized,0.00
"Baked, Sweet",569,Uncategorized,0.00
Arrowroot,6,Uncategorized,0.00
Bermuda,6,Uncategorized,0.00
Boiled,283,Uncategorized,0.00
Fried,283,Mains,0.40
Boiled,284,Uncategorized,0.00
Breakfast,236,Uncategorized,0.00
Baked Alaska,448,Uncategorized,0.00
Baking,20,Uncategorized,0.00
Baking Powder,52,Uncategorized,0.00
Bicuit II,71,Uncategorized,0.00
"Baked, II",571,Uncategorized,0.00
Saut6d,571,Mains,0.40
Neapolitan,416,Uncategorized,0.00
"II, 348. III",348,Uncategorized,0.00
Quick,430,Uncategorized,0.00
Black,135,Uncategorized,0.00
String,126,Uncategorized,0.00
Boston Baked,238,Uncategorized,0.00
String,285,Uncategorized,0.00
Yellow,271,Uncategorized,0.00
Braised,204,Mains,0.40
Chateaubriand of,200,Uncategorized,0.00
Corned,206,Mains,0.40
"Corned, Hash",213,Mains,0.40
"Corned, Hash with Beets",213,Mains,0.40
"Corned, How to Boil",206,Mains,0.40
Cottage Pie,212,Desserts,0.40
Side of,193,Uncategorized,0.00
Dried with Cream,213,Desserts,0.40
Caps,200,Uncategorized,0.00
"Flank, Pressed",205,Uncategorized,0.00
Other Parts of Creature used for Food,194,Uncategorized,0.00
Roast,201,Mains,0.40
"Roast, Gravy",202,Mains,0.40
"Roast, how to Carve",202,Mains,0.40
"Roast, Mexican Sauce",212,Mains,0.40
"Roast, Yorkshire Pudding",202,Mains,0.40
Ways of Warming over,212,Uncategorized,0.00
Beefsteak h la Chiron,197,Uncategorized,0.00
Broiled,195,Mains,0.40
Planked,198,Mains,0.40
Harvard,286,Uncategorized,0.00
Sugared,286,Uncategorized,0.00
Use of,32,Uncategorized,0.00
"Baking Powder, I",70,Uncategorized,0.00
"Baking Powder, II",71,Uncategorized,0.00
Emergency,71,Uncategorized,0.00
Maryland,77,Uncategorized,0.00
Pin Wheel,71,Uncategorized,0.00
Mock,140,Uncategorized,0.00
"Blanc-Mange, Chocolate",411,Drinks,0.40
Irish Moss,411,Uncategorized,0.00
Blueberiy Pie,468,Desserts,0.40
Baked,165,Uncategorized,0.00
"Breslin, Baked",165,Uncategorized,0.00
Boiled Dinner,206,Uncategorized,0.00
Boning,24,Uncategorized,0.00
Braising,22,Uncategorized,0.00
Aerated,53,Uncategorized,0.00
"Baking, Care of, after",52,Uncategorized,0.00
Baking of,51,Uncategorized,0.00
Boards,600,Uncategorized,0.00
"Boston, Brown",57,Uncategorized,0.00
Entire Wheat,55,Uncategorized,0.00
Entire Wheat and Four,55,Uncategorized,0.00
Fermented,50,Uncategorized,0.00
German Caraway,55,Uncategorized,0.00
Graham,56,Uncategorized,0.00
"Graham, Steamed",58,Uncategorized,0.00
Indian,58,Uncategorized,0.00
Making of,50,Uncategorized,0.00
Milk and Water,54,Uncategorized,0.00
New England Brown,58,Uncategorized,0.00
Pulled,146,Uncategorized,0.00
Rolled,549,Uncategorized,0.00
"Stale, Uses for",69,Uncategorized,0.00
Sticks,59,Uncategorized,0.00
Swedish,63,Uncategorized,0.00
Third,56,Uncategorized,0.00
Unfermented,52,Uncategorized,0.00
Water,54,Uncategorized,0.00
Puffs,77,Uncategorized,0.00
Brewis,69,Uncategorized,0.00
Broiling,19,Uncategorized,0.00
"Broom, Care of",599,Uncategorized,0.00
Bunuelos,362,Uncategorized,0.00
Hot Cross,65,Uncategorized,0.00
"Burns, Remedy for",601,Uncategorized,0.00
Clarified,499,Uncategorized,0.00
Composition of,10,Uncategorized,0.00
Cups,538,Uncategorized,0.00
Green,383,Uncategorized,0.00
Maltre d'H6tel,273,Uncategorized,0.00
Rules for Washing,461,Uncategorized,0.00
Scotch,539,Uncategorized,0.00
Butterine,8,Uncategorized,0.00
Boiled,287,Uncategorized,0.00
Cole-Slaw,288,Uncategorized,0.00
Escalloped,287,Uncategorized,0.00
German,288,Uncategorized,0.00
Noir,38,Uncategorized,0.00
Caffeine,36,Uncategorized,0.00
Angel,503,Uncategorized,0.00
Baking of,499,Uncategorized,0.00
Birthday,514,Uncategorized,0.00
Boston Favorite,508,Uncategorized,0.00
Bride's,517,Uncategorized,0.00
"Chocolate, I",506,Drinks,0.40
"Chocolate, II",506,Drinks,0.40
Chocolate Vienna,512,Drinks,0.40
Citron,509,Uncategorized,0.00
Corn-starch,516,Uncategorized,0.00
Cream,509,Desserts,0.40
"Devil's Food, I",511,Uncategorized,0.00
"Devil's Food, II",512,Uncategorized,0.00
Election,505,Uncategorized,0.00
Golden,517,Uncategorized,0.00
Imperial,523,Uncategorized,0.00
Lily,515,Uncategorized,0.00
Moonshine,503,Uncategorized,0.00
"Nut, White",517,Uncategorized,0.00
"Pans, to Prepare",499,Uncategorized,0.00
"Pans, Removing from",500,Uncategorized,0.00
Quick,508,Uncategorized,0.00
Ribbon,513,Uncategorized,0.00
Spanish,510,Uncategorized,0.00
Sunshine,502,Uncategorized,0.00
Velvet,509,Uncategorized,0.00
Walnut,510,Uncategorized,0.00
"Wedding, I",522,Uncategorized,0.00
"Wedding, II",522,Uncategorized,0.00
Baba,388,Uncategorized,0.00
Breakfast,70,Uncategorized,0.00
Card,496,Uncategorized,0.00
Chocolate,491,Drinks,0.40
Chocolate Dominoes,507,Drinks,0.40
Christmas,520,Uncategorized,0.00
Cinnamon,510,Uncategorized,0.00
Cream,518,Desserts,0.40
"Cream, French",519,Desserts,0.40
"Cream, French Strawberry",519,Desserts,0.40
Crescents,534,Uncategorized,0.00
Dipping of,531,Uncategorized,0.00
Glazing of,531,Uncategorized,0.00
Horseshoes,534,Uncategorized,0.00
Neuremburghs,492,Uncategorized,0.00
Royal Fans,489,Uncategorized,0.00
Heart,211,Uncategorized,0.00
Daily,612,Uncategorized,0.00
Algonquin,555,Uncategorized,0.00
Chteese and Olive,555,Uncategorized,0.00
Lorenzo,555,Uncategorized,0.00
Martha,554,Uncategorized,0.00
