name,page,category,tags,url,pageStatus
Aiguillettes of Rouen duck bigarrade,558,Mains,,https://archive.org/details/cu31924000610117/page/n583,verified
"Aiguillettes of Rouen duck, with cherries",558,Mains,,https://archive.org/details/cu31924000610117/page/n583,verified
"Aiguillettes of Rouen Duck, with truffles",558,Mains,,https://archive.org/details/cu31924000610117/page/n583,verified
"Aiguillettes of duckling, à l'ecarlate",562,Mains,,https://archive.org/details/cu31924000610117/page/n587,verified
Ailerons of chicken,507,Mains,,https://archive.org/details/cu31924000610117/page/n532,verified
"Ailerons of chicken, à la Carmelite",537,Mains,,https://archive.org/details/cu31924000610117/page/n562,verified
"Ailerons of young turkey, gilded, with chestnut purée",545,Mains,,https://archive.org/details/cu31924000610117/page/n570,verified
Allumettes,678,Sides,,https://archive.org/details/cu31924000610117/page/n703,verified
"Allumettes, with anchovies",142,Sides,appetizer,https://archive.org/details/cu31924000610117/page/n167,verified
"Anchovies, fillets of",70,Basics,,https://archive.org/details/cu31924000610117/page/n95,verified
"Anchovies, fillets of",142,Sides,appetizer,https://archive.org/details/cu31924000610117/page/n167,verified
"Anchovies, fresh, marinaded",142,Sides,appetizer,https://archive.org/details/cu31924000610117/page/n167,verified
"Anchovies, rolled",142,Sides,appetizer,https://archive.org/details/cu31924000610117/page/n167,verified
"Anchovies, medallions of",142,Sides,appetizer,https://archive.org/details/cu31924000610117/page/n167,verified
"Anchovies, paupiettes",143,Sides,appetizer,https://archive.org/details/cu31924000610117/page/n168,verified
"Anchovies, with pimentos",144,Sides,appetizer,https://archive.org/details/cu31924000610117/page/n169,verified
"Anchovies, Norwegian or Kilkis",144,Sides,appetizer,https://archive.org/details/cu31924000610117/page/n169,verified
"Anchovies, fresh",261,Mains,,https://archive.org/details/cu31924000610117/page/n286,verified
Angels on horseback,682,Sides,,https://archive.org/details/cu31924000610117/page/n707,verified
"Anglaise, for eggs and bread-crumbing",70,Basics,,https://archive.org/details/cu31924000610117/page/n95,verified
Apple fritters,751,Desserts,,https://archive.org/details/cu31924000610117/page/n776,verified
"Apples, with butter",751,Desserts,,https://archive.org/details/cu31924000610117/page/n776,verified
"Apples, Bonne femme",751,Desserts,,https://archive.org/details/cu31924000610117/page/n776,verified
"Apples, Bourdaloue",751,Desserts,,https://archive.org/details/cu31924000610117/page/n776,verified
"Apples, charlotte of",720,Desserts,,https://archive.org/details/cu31924000610117/page/n745,verified
"Apples, charlotte of, Emile Giret",720,Desserts,,https://archive.org/details/cu31924000610117/page/n745,verified
"Apples, à la Chatelaine",752,Desserts,,https://archive.org/details/cu31924000610117/page/n777,verified
"Apples, a la Chevreuse",753,Desserts,,https://archive.org/details/cu31924000610117/page/n778,verified
"Apples, a la Conde",752,Desserts,,https://archive.org/details/cu31924000610117/page/n777,verified
"Apples, gratined",752,Desserts,,https://archive.org/details/cu31924000610117/page/n777,verified
"Apples, meringued",752,Desserts,,https://archive.org/details/cu31924000610117/page/n777,verified
"Apples, Moscovite",752,Desserts,,https://archive.org/details/cu31924000610117/page/n777,verified
"Apples, Parisian style",753,Desserts,,https://archive.org/details/cu31924000610117/page/n778,verified
"Apples, Portuguese style",753,Desserts,,https://archive.org/details/cu31924000610117/page/n778,verified
"Apples, Rabofte or Norman Douillon",753,Desserts,,https://archive.org/details/cu31924000610117/page/n778,verified
"Apples, Irène",753,Desserts,,https://archive.org/details/cu31924000610117/page/n778,verified
"Apple flawn, à la Ninon (hot)",753,Desserts,,https://archive.org/details/cu31924000610117/page/n778,verified
"Apple flawn, a la Bateliere",754,Desserts,,https://archive.org/details/cu31924000610117/page/n779,verified
"Apples, à la Royale",782,Desserts,,https://archive.org/details/cu31924000610117/page/n807,verified
Apricots,743,Desserts,,https://archive.org/details/cu31924000610117/page/n768,verified
Apricots à la Bourdaloue,743,Desserts,,https://archive.org/details/cu31924000610117/page/n768,verified
Apricots à la Colbert,744,Desserts,,https://archive.org/details/cu31924000610117/page/n769,verified
Apricots a la Condé,744,Desserts,,https://archive.org/details/cu31924000610117/page/n769,verified
Apricots a la Conde (another method),744,Desserts,,https://archive.org/details/cu31924000610117/page/n769,verified
Apricots a la Cussy,744,Desserts,,https://archive.org/details/cu31924000610117/page/n769,verified
"Apricots, gratined",744,Desserts,,https://archive.org/details/cu31924000610117/page/n769,verified
"Apricots, meringued",745,Desserts,,https://archive.org/details/cu31924000610117/page/n770,verified
"Apricots, meringued (another method)",745,Desserts,,https://archive.org/details/cu31924000610117/page/n770,verified
"Apricots, Sultana",745,Desserts,,https://archive.org/details/cu31924000610117/page/n770,verified
Aromatics,71,Basics,,https://archive.org/details/cu31924000610117/page/n96,verified
"Artichokes, Barigoule",624,Sides,,https://archive.org/details/cu31924000610117/page/n649,verified
"Artichoke hearts, à la Clamart",624,Sides,,https://archive.org/details/cu31924000610117/page/n649,verified
"Artichokes, with various sauces",624,Sides,,https://archive.org/details/cu31924000610117/page/n649,verified
Artichokes a la Provençale,625,Sides,,https://archive.org/details/cu31924000610117/page/n650,verified
"Artichokes, quartered, Italian style",625,Sides,,https://archive.org/details/cu31924000610117/page/n650,verified
"Artichoke bottoms, stuffed",625,Sides,,https://archive.org/details/cu31924000610117/page/n650,verified
"Artichoke bottoms, stuffed, à la Florentine",626,Sides,,https://archive.org/details/cu31924000610117/page/n651,verified
"Artichoke bottoms, with sprew",626,Sides,,https://archive.org/details/cu31924000610117/page/n651,verified
"Artichoke bottoms, sautéd",626,Sides,,https://archive.org/details/cu31924000610117/page/n651,verified
"Artichoke bottoms, small",144,Sides,appetizer,https://archive.org/details/cu31924000610117/page/n169,verified
"Artichokes, Grecian style",144,Sides,appetizer,https://archive.org/details/cu31924000610117/page/n169,verified
"Artichokes, Jerusalem, English style",670,Sides,,https://archive.org/details/cu31924000610117/page/n695,verified
"Artichokes, fried",670,Sides,,https://archive.org/details/cu31924000610117/page/n695,verified
Asparagus,627,Sides,,https://archive.org/details/cu31924000610117/page/n652,verified
"Asparagus, Flemish style",627,Sides,,https://archive.org/details/cu31924000610117/page/n652,verified
"Asparagus, gratined",627,Sides,,https://archive.org/details/cu31924000610117/page/n652,verified
"Asparagus, Milanese style",627,Sides,,https://archive.org/details/cu31924000610117/page/n652,verified
"Asparagus, Polish style",628,Sides,,https://archive.org/details/cu31924000610117/page/n653,verified
"Asparagus, with various sauces",628,Sides,,https://archive.org/details/cu31924000610117/page/n653,verified
"Asparagus tops, with butter",628,Sides,,https://archive.org/details/cu31924000610117/page/n653,verified
"Asparagus tops, with cream",628,Sides,,https://archive.org/details/cu31924000610117/page/n653,verified
Aspics or savoury jellies,59,Basics,,https://archive.org/details/cu31924000610117/page/n84,verified
"Aspic, ordinary",59,Basics,,https://archive.org/details/cu31924000610117/page/n84,verified
