name,page,guessed_category,confidence
Stews Epicurean Butter .... ■+■,5,Soups & Stews,0.80
Pistachios,10,Uncategorized,0.00
"S Sago, to prepare... Spice Extract for Stews Sugar, to clarify",11,Soups & Stews,0.80
Dumplings,7,Sides,0.50
BeefTea,30,Uncategorized,0.00
"Buttermilk with Pearl Barley, good for invalids",46,Uncategorized,0.00
Raisins,46,Desserts,0.45
Soup,41,Soups & Stews,0.90
Princess Soap,22,Uncategorized,0.00
51 49 48 V Veal Soilp .... Veal Soup for invalids Veal Sweetbread Soup 15 48 18 21 31 22 W Westphalian Cold Soup,52,Soups & Stews,0.90
Whipped Cream,52,Desserts,0.40
Whipped Sour Cream,52,Desserts,0.40
Cleanliness,53,Uncategorized,0.00
Endives,59,Uncategorized,0.00
Serving,55,Uncategorized,0.00
Sorrel,58,Uncategorized,0.00
Ojsters,83,Uncategorized,0.00
Rhinewine,83,Uncategorized,0.00
"Truffles, filled",77,Uncategorized,0.00
HotchPotch,66,Uncategorized,0.00
Warmed-over dishes,55,Uncategorized,0.00
Sauce,98,Sauces & Condiments,0.85
"Fricco, Spanish",106,Uncategorized,0.00
Kettle Boast,97,Uncategorized,0.00
Larding,93,Uncategorized,0.00
Milan Eoast,100,Uncategorized,0.00
Rolled Roast,97,Mains,0.40
"Calf's Head, baked",124,Uncategorized,0.00
Gravy,124,Sauces & Condiments,0.85
Escallops,125,Uncategorized,0.00
Paprican (Hungarian dish),122,Uncategorized,0.00
"Roast, Veal, warmed over, a la Gourmand",128,Mains,0.40
Schnitzel),121,Uncategorized,0.00
"Mutton, remnants, with Pick134 Mutton, stewed with Claret",132,Mains,0.70
Crust ( Mecklenburg style),188,Uncategorized,0.00
"Harn, baked whole",138,Uncategorized,0.00
Schnitzchen),144,Uncategorized,0.00
Gravy,168,Sauces & Condiments,0.85
Pheasants with Sourkraut,173,Uncategorized,0.00
"Pheasant, roasted",172,Mains,0.40
"Poultry, remnants, minced for invalids",177,Mains,0.40
Rehrippchen),152,Uncategorized,0.00
Picnic Pie,191,Desserts,0.40
Herbs,215,Uncategorized,0.00
Salmqn with Savory Herbs,202,Uncategorized,0.00
Sandwiches,227,Sides,0.60
Sauce,222,Sauces & Condiments,0.85
"Badger, roast",233,Mains,0.40
"Bear, roast",234,Mains,0.40
Bears Paws,233,Uncategorized,0.00
"Beaver Tails, roast",234,Mains,0.40
Coot,231,Uncategorized,0.00
Mountain Cock Pies,233,Desserts,0.40
Bread,237,Breads,0.80
Roast,248,Mains,0.40
Cracknels,265,Uncategorized,0.00
G .General directions,263,Uncategorized,0.00
Omelette,265,Breakfast & Brunch,0.75
Jelly,290,Preserves & Pickles,0.70
General directions,296,Uncategorized,0.00
Jelly,296,Preserves & Pickles,0.70
Feet,292,Uncategorized,0.00
315 809 Common Sour Milk Pudding 305 314 312 3!2 314 Cup Blanc-mange .... a General directions,306,Desserts,0.80
29ft German Blanc-mange,311,Uncategorized,0.00
Sago and Currant Cream,314,Desserts,0.40
Snowball,311,Uncategorized,0.00
Cream,308,Desserts,0.40
Dessert,312,Uncategorized,0.00
Strawberry Cream,313,Desserts,0.40
