name,page,category,tags,url,pageStatus
Seasoning,39,Basics,,https://archive.org/details/goldenrulecookbo00shar,unverified
Canned Goods,41,Preserves & Pickles,,https://archive.org/details/goldenrulecookbo00shar/page/n50,verified
Cream of Artichoke,47,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n56,verified
Lima Beans,50,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n59,verified
Carrot and Onion,52,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n61,verified
Carrots,53,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n62,verified
Cauliflower,53,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n62,verified
Celery,54,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n63,verified
Cheese,53,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n62,verified
Chestnut,55,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n64,verified
Curry,56,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n65,verified
Lentil,59,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n68,verified
Onion,61,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n70,verified
Green Pea,63,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n72,verified
Rice,65,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n74,verified
Spinach,67,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n76,verified
Tomato,70,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n79,verified
Vegetable,74,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n83,verified
"Soup, Asparagus",48,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n57,verified
Barley and Tomato,48,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n57,verified
Black Bean,48,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n57,verified
Plain Bean,49,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n58,verified
Brown Bean,49,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n58,verified
Red Bean,50,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n59,verified
Dutch Cabbage,51,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n60,verified
Calcutta Bisque,51,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n60,verified
Canton Stew,51,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n60,verified
Carrot Broth,52,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n61,verified
"Soup, Chestnut",54,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n63,verified
Red Lentil,58,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n67,verified
Puree Mongole,59,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n68,verified
Mushroom Bisque,60,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n69,verified
Mushroom,60,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n69,verified
Mushroom Stew,61,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n70,verified
Noodle,61,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n70,verified
Okra,61,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n70,verified
Onion au Fromage,62,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n71,verified
New Green Pea,62,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n71,verified
Split Pea,63,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n72,verified
Potato,64,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n73,verified
German Potato,64,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n73,verified
Potato (Flora),65,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n74,verified
Rice and Tomato,65,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n74,verified
Salsify (Oyster Plant),66,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n75,verified
Spaghetti,69,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n78,verified
Scotch Broth,69,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n78,verified
Spanish Tomato,70,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n79,verified
"Soup, Tomato and Com",71,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n80,verified
Tomato,71,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n80,verified
Vegetable Marrow,75,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n84,verified
Artichokes (Jerusalem) in Butter,79,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n88,verified
Puree,81,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n90,verified
Artichokes (Globe),82,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n91,verified
Asparagus,85,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n94,verified
Tips with White Sauce,87,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n96,verified
"Apples, Griddled",88,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n97,verified
Apple Fritters,88,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n97,verified
"Bananas, boiled",88,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n97,verified
Banana Fritters,89,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n98,verified
Boston Beans,89,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n98,verified
"Beans, Green String",90,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n99,verified
"Beans, Florentine",91,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n100,verified
Lima,92,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n101,verified
Lima Hollandaise,93,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n102,verified
Lima Creamed,93,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n102,verified
Lima Sauquetash,93,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n102,verified
Beets,94,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n103,verified
Pickled,95,Preserves & Pickles,,https://archive.org/details/goldenrulecookbo00shar/page/n104,verified
Brussels Sprouts,96,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n105,verified
Cabbage,98,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n107,verified
Cold Slaw,100,Salads,,https://archive.org/details/goldenrulecookbo00shar/page/n109,verified
Pickled Red,101,Preserves & Pickles,,https://archive.org/details/goldenrulecookbo00shar/page/n110,verified
"Carrots, Creamed",101,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n110,verified
Cauliflower,104,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n113,verified
"Celery, Creamed",106,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n115,verified
"Cucumbers, Stewed",110,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n119,verified
Egg Plant with Sauce Tartare,111,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n120,verified
"Lentils, Egyptian",112,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n121,verified
Mushrooms,114,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n123,verified
Canned,118,Preserves & Pickles,,https://archive.org/details/goldenrulecookbo00shar/page/n127,verified
Mushroom and Chestnut Ragout,115,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n124,verified
Okra. Stewed,120,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n129,verified
Okra and Grilled Tomatoes,120,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n129,verified
"Onions, Boiled",121,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n130,verified
Baked with Chestnuts,122,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n131,verified
"Parsnips, Boiled",127,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n136,verified
"Peas, Green",128,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n137,verified
Canned,128,Preserves & Pickles,,https://archive.org/details/goldenrulecookbo00shar/page/n137,verified
"Peppers, Stuffed",129,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n138,verified
Potatoes,132,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n141,verified
Mashed with Onion,135,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n144,verified
"Potatoes, Roast",135,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n144,verified
Fried Souffle,136,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n145,verified
"New, in Butter",143,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n152,verified
Potato Fritters,134,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n143,verified
Hash,141,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n150,verified
Fricassee,142,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n151,verified
"Sweet Potatoes, Boiled",145,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n154,verified
Sweet Potato Pie,146,Desserts,,https://archive.org/details/goldenrulecookbo00shar/page/n155,verified
Salsify (Oyster Plant),149,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n158,verified
Spinach,150,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n159,verified
"Squash, Baked",153,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n162,verified
"Tomatoes, Stewed",153,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n162,verified
Baked with Mushrooms,156,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n165,verified
Stuffed with Egg and Peppers,156,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n165,verified
Baked with Peppers,156,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n165,verified
Filled with Egg,157,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n166,verified
Stuffed with Spinach,157,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n166,verified
American Rarebit,158,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n167,verified
"Turnips, Stewed",161,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n170,verified
Ragout of,162,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n171,verified
Chop Suey,167,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n176,verified
Macedoine of Vegetables,167,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n176,verified
Canned,168,Preserves & Pickles,,https://archive.org/details/goldenrulecookbo00shar/page/n177,verified
Vegetable Chowder,168,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n177,verified
Hash,169,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n178,verified
Ragout,171,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n180,verified
New Orleans Stew,172,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n181,verified
"Curry, Indian",172,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n181,verified
Lentils,173,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n182,verified
Succotash,173,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n182,verified
"Chestnuts, Italian",177,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n186,verified
Puree,177,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n186,verified
Peanut Puree,178,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n187,verified
Michaelmas Loaf,178,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n187,verified
Christmas Loaf,178,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n187,verified
Nut and Barley Loaf (Roast),179,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n188,verified
Nut and Barley Loaf (Steamed),179,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n188,verified
Foundation Loaf,180,Mains,,https://archive.org/details/goldenrulecookbo00shar/page/n189,verified
"Rice, Boiled",185,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n194,verified
Tomato Stew,186,Soups & Stews,,https://archive.org/details/goldenrulecookbo00shar/page/n195,verified
"Macaroni, American",190,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n199,verified
Rarebit,192,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n201,verified
Spaghetti,193,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n202,verified
Noodles,193,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n202,verified
"Croquettes, Bean",197,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n206,verified
Cheese,197,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n206,verified
Swiss Cheese,197,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n206,verified
Chestnut,198,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n207,verified
"Croquettes, Farina",198,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n207,verified
Hominy,199,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n208,verified
Lentil,199,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n208,verified
Macaroni,199,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n208,verified
"Croquettes, Tomato",200,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n209,verified
Dried Pea,201,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n210,verified
Nut and Potato,201,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n210,verified
Potato,202,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n211,verified
"Croquettes, Potato Creole",203,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n212,verified
Rice,204,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n213,verified
Mixed Vegetable,205,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n214,verified
"Timbales, Com",210,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n219,verified
Potato,211,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n220,verified
Rice,211,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n220,verified
Savoury Egg,209,Breakfast & Brunch,,https://archive.org/details/goldenrulecookbo00shar/page/n218,verified
"Patties, Articnoke",211,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n220,verified
"Patties, Asparagus",212,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n221,verified
Celery,212,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n221,verified
Chestnut,212,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n221,verified
Green Pea,212,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n221,verified
Mushroom,213,Sides,,https://archive.org/details/goldenrulecookbo00shar/page/n222,verified
Sauce Bemaise,217,Sauces & Condiments,,https://archive.org/details/goldenrulecookbo00shar/page/n226,verified
Black Butter,218,Sauces & Condiments,,https://archive.org/details/goldenrulecookbo00shar/page/n227,verified
