name,page,guessed_category,confidence
Introduction,11,Uncategorized,0.00
Measiuing,39,Uncategorized,0.00
Thickening,40,Uncategorized,0.00
Gelatine,41,Uncategorized,0.00
Fat for Frying,41,Uncategorized,0.00
Clear BouUlon,46,Uncategorized,0.00
Belgian,49,Uncategorized,0.00
Cockie-Leekie,56,Uncategorized,0.00
Creole,56,Uncategorized,0.00
Florentine,57,Uncategorized,0.00
Heilbronn,57,Uncategorized,0.00
Juhenne,58,Uncategorized,0.00
Hungarian,59,Uncategorized,0.00
Princess,64,Uncategorized,0.00
Rice-Okra,66,Uncategorized,0.00
Spinach-Tomato,67,Uncategorized,0.00
Sorrel (French),68,Uncategorized,0.00
Sorrel (German),68,Uncategorized,0.00
St. Germaine,68,Uncategorized,0.00
Tomato-Tapioca,70,Uncategorized,0.00
Tomato-Macaroni,71,Uncategorized,0.00
Mulligatawney,72,Uncategorized,0.00
Fritters,80,Sides,0.60
Fried,80,Mains,0.40
French Fried,80,Mains,0.40
Tartare,81,Uncategorized,0.00
Fried with Tomato Sauce,81,Mains,0.40
Lyonnaise,81,Uncategorized,0.00
Newburg,82,Uncategorized,0.00
Vinaigrette,84,Uncategorized,0.00
Fonds,84,Uncategorized,0.00
Tips,86,Uncategorized,0.00
White,86,Uncategorized,0.00
Vinaigrette,86,Uncategorized,0.00
Fried Tips,86,Mains,0.40
Escalloped,87,Uncategorized,0.00
Golden Wax,90,Uncategorized,0.00
French,90,Uncategorized,0.00
Deutschland,90,Uncategorized,0.00
Itahan,91,Uncategorized,0.00
Spanish,92,Uncategorized,0.00
Creamed,94,Desserts,0.40
Virginia,94,Uncategorized,0.00
Piquant,95,Uncategorized,0.00
German,95,Uncategorized,0.00
Lyonnaise,97,Uncategorized,0.00
Creamed,97,Desserts,0.40
New England,98,Uncategorized,0.00
Western,98,Uncategorized,0.00
Sarmas,99,Uncategorized,0.00
Lichtenstein,99,Uncategorized,0.00
Lady,100,Uncategorized,0.00
German Red,100,Uncategorized,0.00
Hungarian,100,Uncategorized,0.00
Saute,102,Uncategorized,0.00
Glorified,102,Uncategorized,0.00
Glazed,103,Uncategorized,0.00
Delmonico,103,Uncategorized,0.00
Souffle,104,Desserts,0.45
Indi ex,317,Uncategorized,0.00
Creamed,104,Desserts,0.40
German,105,Uncategorized,0.00
Italian,105,Uncategorized,0.00
Fritters,105,Sides,0.60
Baked,107,Uncategorized,0.00
Cepes,107,Uncategorized,0.00
"Com, Boiled",108,Uncategorized,0.00
Roasted,108,Mains,0.40
Pudding,108,Desserts,0.80
Creole,109,Uncategorized,0.00
Chowder,109,Soups & Stews,0.90
Rhode Island Escallop,110,Uncategorized,0.00
Stuffed,110,Sides,0.50
"Endive, Creamed",111,Desserts,0.40
Kohbabi,112,Uncategorized,0.00
German,113,Uncategorized,0.00
Lentil Pie,112,Desserts,0.40
Leeks,113,Uncategorized,0.00
Stewed,114,Uncategorized,0.00
German,114,Uncategorized,0.00
Newburg,115,Uncategorized,0.00
GriUed,116,Uncategorized,0.00
Sur Cloche,116,Uncategorized,0.00
Filled,117,Uncategorized,0.00
Czarina,119,Uncategorized,0.00
Loaf,119,Breads,0.55
Creamed,121,Desserts,0.40
Escalloped,122,Uncategorized,0.00
Souffle,123,Desserts,0.45
Bordeaux,123,Uncategorized,0.00
Beatrice,124,Uncategorized,0.00
Stuffed,124,Sides,0.50
Fried,125,Mains,0.40
French Fried,125,Mains,0.40
SmaU,126,Uncategorized,0.00
Glazed,126,Uncategorized,0.00
Fried,127,Mains,0.40
French Fried,127,Mains,0.40
BroUed,128,Uncategorized,0.00
Paysanne,128,Uncategorized,0.00
Escalloped with Com,130,Uncategorized,0.00
Fried,131,Mains,0.40
"Pimentos, Creamed",131,Desserts,0.40
RoUed,131,Uncategorized,0.00
Mashed,133,Uncategorized,0.00
Souffle,134,Desserts,0.45
Riced,134,Uncategorized,0.00
Baked,135,Uncategorized,0.00
Denver,135,Uncategorized,0.00
Broiled,136,Mains,0.40
Whole Fried,136,Mains,0.40
French Fried,137,Mains,0.40
Parisian,137,Uncategorized,0.00
Lyonnaise,138,Uncategorized,0.00
German Fried,138,Mains,0.40
Creamed,139,Desserts,0.40
Escalloj)ed,139,Uncategorized,0.00
Delmonico,140,Uncategorized,0.00
Oak Hill,140,Uncategorized,0.00
Heilbronn,140,Uncategorized,0.00
Curried,142,Sides,0.50
Rennequin,142,Uncategorized,0.00
Escallop with Om'on,143,Uncategorized,0.00
Creamed New,144,Desserts,0.40
Boiled New,144,Uncategorized,0.00
INIock New,144,Uncategorized,0.00
Straws,137,Uncategorized,0.00
Cradles,138,Uncategorized,0.00
Savoury,139,Uncategorized,0.00
Cakes,141,Desserts,0.85
Omelet,141,Breakfast & Brunch,0.75
Saratoga Chips,137,Uncategorized,0.00
Baked,145,Uncategorized,0.00
Mashed,145,Uncategorized,0.00
Souffle,145,Desserts,0.45
Escalloped,146,Uncategorized,0.00
Stuffed,146,Sides,0.50
Maryland,147,Uncategorized,0.00
Candied,148,Uncategorized,0.00
Griddled,148,Uncategorized,0.00
Fried,148,Mains,0.40
French Fried,148,Mains,0.40
Glazed,149,Uncategorized,0.00
Texas,147,Uncategorized,0.00
English,149,Uncategorized,0.00
Escalloped,150,Uncategorized,0.00
Tartare,150,Uncategorized,0.00
Black,150,Uncategorized,0.00
German,151,Uncategorized,0.00
Italian,152,Uncategorized,0.00
Novelty,152,Uncategorized,0.00
Souffle,152,Desserts,0.45
California,153,Uncategorized,0.00
Escalloped,154,Uncategorized,0.00
Breaded,154,Uncategorized,0.00
Fried,154,Mains,0.40
Devilled,155,Mains,0.40
Creamed,155,Desserts,0.40
Casino,159,Uncategorized,0.00
Indienne,159,Uncategorized,0.00
Curried,159,Sides,0.50
Savoiuy,160,Uncategorized,0.00
Creole,160,Uncategorized,0.00
