name,page,category,tags,url,pageStatus
Agnello arrosto,137,Mains,,https://archive.org/details/italiancooking00daly/page/n140,verified
Agnello in casseruola,138,Mains,,https://archive.org/details/italiancooking00daly/page/n141,verified
Agnolotti,67,Mains,,https://archive.org/details/italiancooking00daly/page/n70,verified
Almond sauce,201,Sauces & Condiments,,https://archive.org/details/italiancooking00daly/page/n204,verified
Anchovies and tunny fish with tagliatelle,55,Mains,,https://archive.org/details/italiancooking00daly/page/n58,verified
Anchovies with fried bread,26,Sides,appetizer,https://archive.org/details/italiancooking00daly/page/n29,verified
Anchovies with spaghetti,61,Mains,,https://archive.org/details/italiancooking00daly/page/n64,verified
Anchovy sauce,219,Sauces & Condiments,,https://archive.org/details/italiancooking00daly/page/n222,verified
Anchovy toast,24,Sides,appetizer,https://archive.org/details/italiancooking00daly/page/n27,verified
Anguilla alia Ferrarese,106,Mains,,https://archive.org/details/italiancooking00daly/page/n109,verified
Anolini,67,Mains,,https://archive.org/details/italiancooking00daly/page/n70,verified
"Antipasto, fennel",22,Sides,appetizer,https://archive.org/details/italiancooking00daly/page/n25,verified
Antipasto Fortunata Ruocco's,23,Sides,appetizer,https://archive.org/details/italiancooking00daly/page/n26,verified
"Antipasto, pepper (cold)",23,Sides,appetizer,https://archive.org/details/italiancooking00daly/page/n26,verified
"Antipasto, pepper (hot)",25,Sides,appetizer,https://archive.org/details/italiancooking00daly/page/n28,verified
"Antipasto, rice",21,Sides,appetizer,https://archive.org/details/italiancooking00daly/page/n24,verified
Apple charlotte,190,Desserts,,https://archive.org/details/italiancooking00daly/page/n193,verified
Apple fritters,186,Desserts,,https://archive.org/details/italiancooking00daly/page/n189,verified
Apple sauce,210,Sauces & Condiments,,https://archive.org/details/italiancooking00daly/page/n213,verified
Apricot fritters,186,Desserts,,https://archive.org/details/italiancooking00daly/page/n189,verified
Aragosta lessata,104,Mains,,https://archive.org/details/italiancooking00daly/page/n107,verified
Arangirii,86,Mains,,https://archive.org/details/italiancooking00daly/page/n89,verified
Aringa alia gratella,107,Mains,,https://archive.org/details/italiancooking00daly/page/n110,verified
Artichoke omelette,97,Breakfast & Brunch,,https://archive.org/details/italiancooking00daly/page/n100,verified
"Artichokes, fricassee of",163,Sides,,https://archive.org/details/italiancooking00daly/page/n166,verified
"Artichokes, Jewish",164,Sides,,https://archive.org/details/italiancooking00daly/page/n167,verified
Artichokes stewed with peas,164,Sides,,https://archive.org/details/italiancooking00daly/page/n167,verified
Artichokes with liver,144,Mains,,https://archive.org/details/italiancooking00daly/page/n147,verified
