name,page,guessed_category,confidence
Anchovies,15,non-recipe (glossary/measures),0.00
Basil,12,non-recipe (glossary/measures),0.00
Bel Paese,14,non-recipe (glossary/measures),0.00
Borage,13,non-recipe (glossary/measures),0.00
Breadcrumbs,13,non-recipe (glossary/measures),0.00
Celery,13,non-recipe (glossary/measures),0.00
Cheese,14,non-recipe (glossary/measures),0.00
Cinnamon,18,non-recipe (glossary/measures),0.00
Cloves,18,non-recipe (glossary/measures),0.00
Cooking temperatures,11,non-recipe (glossary/measures),0.00
Coriander seeds,18,non-recipe (glossary/measures),0.00
Fennel,14,non-recipe (glossary/measures),0.00
"Fennel, seeds",18,non-recipe (glossary/measures),0.00
"Fish, tinned and salted",15,non-recipe (glossary/measures),0.00
Garlic,15,non-recipe (glossary/measures),0.00
Juniper berries,15,non-recipe (glossary/measures),0.00
Marjoram,15,non-recipe (glossary/measures),0.00
Mint,15,non-recipe (glossary/measures),0.00
Mozzarella,14,non-recipe (glossary/measures),0.00
"Mushrooms, dried",16,non-recipe (glossary/measures),0.00
Myrtle,16,non-recipe (glossary/measures),0.00
Nutmeg,18,non-recipe (glossary/measures),0.00
Olive oil,16,non-recipe (glossary/measures),0.00
Oven heats,11,non-recipe (glossary/measures),0.00
Parmesan,14,non-recipe (glossary/measures),0.00
Parsley,16,non-recipe (glossary/measures),0.00
Pepper,18,non-recipe (glossary/measures),0.00
Pine nuts,17,non-recipe (glossary/measures),0.00
Ricotta,14,non-recipe (glossary/measures),0.00
Rosemary,17,non-recipe (glossary/measures),0.00
Saffron,17,non-recipe (glossary/measures),0.00
Sage,18,non-recipe (glossary/measures),0.00
Salt,18,non-recipe (glossary/measures),0.00
Sardines,15,non-recipe (glossary/measures),0.00
Spices,18,non-recipe (glossary/measures),0.00
Tarragon,18,non-recipe (glossary/measures),0.00
Thyme,19,non-recipe (glossary/measures),0.00
Tomato paste,19,non-recipe (glossary/measures),0.00
Tomatoes,19,non-recipe (glossary/measures),0.00
Tunny fish,15,non-recipe (glossary/measures),0.00
Weights and measures,10,non-recipe (glossary/measures),0.00
