name,page,category,tags,url,pageStatus
Almendra (Almond),3,Soups & Stews,,https://archive.org/details/onehundredonemex00soutiala/page/n12,verified
Caldo de Pescado (Fish),3,Soups & Stews,,https://archive.org/details/onehundredonemex00soutiala/page/n12,verified
Chile Bisque,4,Soups & Stews,,https://archive.org/details/onehundredonemex00soutiala/page/n13,verified
Cordero (Lamb),4,Soups & Stews,,https://archive.org/details/onehundredonemex00soutiala/page/n13,verified
Gitano (Beans and Codfish),5,Soups & Stews,,https://archive.org/details/onehundredonemex00soutiala/page/n14,verified
Mexican Noodle,5,Soups & Stews,,https://archive.org/details/onehundredonemex00soutiala/page/n14,verified
Rancheros (Vegetable),5,Soups & Stews,,https://archive.org/details/onehundredonemex00soutiala/page/n14,verified
Cangrejuelos (Shrimps),9,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n18,verified
Caracoles con Perejil (Snails),9,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n18,verified
Langosta a la Catalana (Lobster),10,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n19,verified
Pilchers (Sardines),10,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n19,verified
Buey Ahumando y Huevos (Dried Beef and Eggs),13,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n22,verified
Chile con Carne (Pork),13,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n22,verified
Chonzo (Beef and Pork),13,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n22,verified
Chuletas de Ternero (Veal Cutlets),14,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n23,verified
Estofado (Beef),14,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n23,verified
Guiso (Beef),15,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n24,verified
Lengua de Buey Concida (Beef's Tongue),16,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n25,verified
Loma de Vaca (Beef),17,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n26,verified
Patitas con Mani (Pigs' Feet),17,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n26,verified
Puerco en Estofado (Pork),18,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n27,verified
Pulchero Grueso (Boiled Meat and Vegetables),18,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n27,verified
Tia Juana (Tripe),19,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n28,verified
Tripe Spanish,19,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n28,verified
A la Moda (Chicken and Macaroni),23,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n32,verified
Chile Chicken,23,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n32,verified
Gallina con Garbanzos (Chicken and Peas),23,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n32,verified
Ganso en Aceitunas (Goose),24,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n33,verified
Mexican Turkey,24,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n33,verified
Mole de Guajolote (Turkey),25,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n34,verified
Polio Guisado (Chicken),26,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n35,verified
Polluelo en Estofado (Chicken),26,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n35,verified
Arroz en el Homo (Rice),29,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n38,verified
Beans Mexican,29,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n38,verified
Chile Reinas (Peppers),30,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n39,verified
Cidracayote (Summer Squash),30,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n39,verified
Estilo Seco (Beans),31,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n40,verified
Entradas (Macaroni),32,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n41,verified
Frijoles (Beans),32,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n41,verified
Frijoles con Queso (Beans with Cheese),33,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n42,verified
Fuente Italiano (Spaghetti),33,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n42,verified
Green Chiles,33,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n42,verified
Habas Espana (Beans),34,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n43,verified
Macarrones (Macaroni),34,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n43,verified
Mariana-land (Rice),35,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n44,verified
Pimientos (Peppers),36,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n45,verified
Plato Fuerte (Peppers with Sardines),36,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n45,verified
Rellenos (Peppers),36,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n45,verified
Rellenos de Queso de Gruyere (Peppers and Swiss Cheese),37,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n46,verified
Stuffed Chiles,37,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n46,verified
Suculento (Corn and Summer Squash),38,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n47,verified
Albondigas,41,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n50,verified
Albondiguillas,41,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n50,verified
Huevos de Carne,42,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n51,verified
Camote y Pina (Candied Sweet Potatoes and Pineapple),47,Desserts,,https://archive.org/details/onehundredonemex00soutiala/page/n56,verified
Dulce (Baked Raisins),47,Desserts,,https://archive.org/details/onehundredonemex00soutiala/page/n56,verified
Mantecado (Ice-Cream),47,Desserts,,https://archive.org/details/onehundredonemex00soutiala/page/n56,verified
Postre de Manzanas (Apples),48,Desserts,,https://archive.org/details/onehundredonemex00soutiala/page/n57,verified
Realengo (Fruit Souffle),49,Desserts,,https://archive.org/details/onehundredonemex00soutiala/page/n58,verified
Torto Frutas (Pie),49,Desserts,,https://archive.org/details/onehundredonemex00soutiala/page/n58,verified
Salsa Nuez (Nut),56,Sauces & Condiments,,https://archive.org/details/onehundredonemex00soutiala/page/n65,verified
Tortillas de Patatas,58,Breakfast & Brunch,,https://archive.org/details/onehundredonemex00soutiala/page/n67,verified
Quesadillas,62,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n71,verified
Hot Tamal,69,Mains,,https://archive.org/details/onehundredonemex00soutiala/page/n78,verified
Ajoqueso (Cheese),75,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n84,verified
Almibar (Candy),75,Desserts,,https://archive.org/details/onehundredonemex00soutiala/page/n84,verified
Azucarillo (Wafers),76,Desserts,,https://archive.org/details/onehundredonemex00soutiala/page/n85,verified
Blanquillos (Eggs),76,Breakfast & Brunch,,https://archive.org/details/onehundredonemex00soutiala/page/n85,verified
Cafe con Leche (Black Coffee with Milk),76,Drinks,,https://archive.org/details/onehundredonemex00soutiala/page/n85,verified
Criollo Guisado (Tortillas Fried),77,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n86,verified
Emparedado (Hot Cakes),77,Breakfast & Brunch,,https://archive.org/details/onehundredonemex00soutiala/page/n86,verified
Ensalada (Salad),78,Salads,,https://archive.org/details/onehundredonemex00soutiala/page/n87,verified
Llenar Mejicano (Filling for Sandwiches),78,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n87,verified
Mejicano-Americano (Waffles),79,Breakfast & Brunch,,https://archive.org/details/onehundredonemex00soutiala/page/n88,verified
Migas (Fried Bread),79,Breads,,https://archive.org/details/onehundredonemex00soutiala/page/n88,verified
Mollete (Cakes),80,Desserts,,https://archive.org/details/onehundredonemex00soutiala/page/n89,verified
Pan Relleno (Stuffed Bread),80,Breads,,https://archive.org/details/onehundredonemex00soutiala/page/n89,verified
Polenta (Baked Mush),81,Breakfast & Brunch,,https://archive.org/details/onehundredonemex00soutiala/page/n90,verified
Tortas Serrano (Cheese in Batter),82,Sides,,https://archive.org/details/onehundredonemex00soutiala/page/n91,verified
Tortilla de Huevos (Omelet),82,Breakfast & Brunch,,https://archive.org/details/onehundredonemex00soutiala/page/n91,verified
