name,page,guessed_category,confidence
Artificial Turtle,42,Uncategorized,0.00
Bunelos,42,Uncategorized,0.00
Chile,55,Uncategorized,0.00
Cold Colorado,55,Uncategorized,0.00
Mexican Chile,56,Uncategorized,0.00
Tomato,57,Sauces & Condiments,0.00
Americano,59,Uncategorized,0.00
Domestico,60,Uncategorized,0.00
Mexican,60,Uncategorized,0.00
Native,61,Uncategorized,0.00
Farsanta,67,Uncategorized,0.00
Genuine,67,Uncategorized,0.00
Hacienda,68,Uncategorized,0.00
Laredo's Celeberrino,69,Uncategorized,0.00
Mesa Redonda,70,Uncategorized,0.00
