name,page,category,tags,url,pageStatus
Allentown cake,7,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n12,verified
Almond cake,6,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n11,verified
American toast,89,Breads,,https://archive.org/details/worldsfairrecipe00land/page/n94,verified
Angel cake,6,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n11,verified
Asparagus soup,97,Soups & Stews,,https://archive.org/details/worldsfairrecipe00land/page/n102,verified
Apple custard pies,84,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n89,verified
Apple dumplings,88,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n93,verified
Apple layer,7,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n12,verified
Apple pie,84,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n89,verified
Apple snow,89,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n94,verified
"Apple jack, or coaka",88,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n93,verified
Apple ice,29,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n34,verified
Apple Jonathan,88,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n93,verified
Apple pudding,89,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n94,verified
Brown bread,1,Breads,,https://archive.org/details/worldsfairrecipe00land/page/n6,verified
Brown beef soup,98,Soups & Stews,,https://archive.org/details/worldsfairrecipe00land/page/n103,verified
Breakfast cake,1,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n6,verified
Bread cake,7,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n12,verified
Boston brown bread,1,Breads,,https://archive.org/details/worldsfairrecipe00land/page/n6,verified
Berwick sponge,7,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n12,verified
Broiled oysters,40,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n45,verified
Baked salt codfish,39,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n44,verified
Beefsteak and onions,33,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n38,verified
Butter taffy,23,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n28,verified
Baked eggs,32,Breakfast & Brunch,,https://archive.org/details/worldsfairrecipe00land/page/n37,verified
"Butter scotch, No. 2",23,Sauces & Condiments,,https://archive.org/details/worldsfairrecipe00land/page/n28,verified
Bread pudding,90,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n95,verified
Blackberry wine,102,Drinks,,https://archive.org/details/worldsfairrecipe00land/page/n107,verified
Baked white fish,40,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n45,verified
