name,page,guessed_category,confidence
American writing ink,72,Uncategorized,0.00
Angels on horseback,32,Uncategorized,0.00
Artificial honey,72,Uncategorized,0.00
"Apoplexy, cure for",59,Uncategorized,0.00
"Asthma, cure for",65,Uncategorized,0.00
Asthma,44,Uncategorized,0.00
"Asthma, cure for",48,Uncategorized,0.00
Breakfast puffs,1,Uncategorized,0.00
"Burns, cure for ■",45,Uncategorized,0.00
Bleeding piles,44,Uncategorized,0.00
"Bed bugs, to drive away",78,Uncategorized,0.00
Bed bug poison,72,Uncategorized,0.00
"Bed bugs, another poison for",72,Uncategorized,0.00
Blood stopping,44,Uncategorized,0.00
"Bloody flux, cure for the",48,Uncategorized,0.00
"Bite of a mad dog, cure for",59,Uncategorized,0.00
Bronchitis,44,Uncategorized,0.00
"Blind, how to prevent horses from going",70,Uncategorized,0.00
"Brooms, how to manage",75,Uncategorized,0.00
"Bots, cure for",63,Uncategorized,0.00
"Bunions, cure for",53,Uncategorized,0.00
"Burns, cure for",57,Uncategorized,0.00
"Boils or carbuncles, cure for",46,Uncategorized,0.00
"Bronchitis, cure for",52,Uncategorized,0.00
Baked maccaroni,100,Uncategorized,0.00
"Bunions, cure for",63,Uncategorized,0.00
"Burns, remedy for",68,Uncategorized,0.00
"Baldness, cure for",64,Uncategorized,0.00
"Burns and sores, cure for",58,Uncategorized,0.00
"Bunions, cure for",62,Uncategorized,0.00
"Burns, cure for",58,Uncategorized,0.00
Cronk beer,103,Uncategorized,0.00
Chow chow,80,Uncategorized,0.00
"Croup, cure for",55,Uncategorized,0.00
Chocolate mange,29,Drinks,0.40
Chocolate caromels,25,Drinks,0.40
Cream puffs,11,Desserts,0.40
Crullers,11,Uncategorized,0.00
"Cancer, cure for",47,Uncategorized,0.00
Colic,47,Uncategorized,0.00
Coughs and colds,47,Uncategorized,0.00
Cora pone,85,Uncategorized,0.00
"Cloth, how to remove tar from",75,Uncategorized,0.00
"Colds, cure for",60,Uncategorized,0.00
"Colds and diarrhoea, cure for",57,Uncategorized,0.00
Complexion pomatum,52,Uncategorized,0.00
Cement for glass,73,Uncategorized,0.00
"Constipation, cure tor",61,Uncategorized,0.00
Chronic diarrhoea,53,Uncategorized,0.00
"Cough or lung diseases, cure for",50,Uncategorized,0.00
Clean brass,79,Uncategorized,0.00
"Croup, cure for",54,Uncategorized,0.00
"Cholera, cure for",55,Uncategorized,0.00
Cockroach poison,73,Uncategorized,0.00
Catarrh,47,Uncategorized,0.00
Croup,47,Uncategorized,0.00
Constipation,52,Uncategorized,0.00
"Cough, a remedy to cure the",44,Uncategorized,0.00
Croup,52,Uncategorized,0.00
Cough in horses,45,Uncategorized,0.00
Colic,52,Uncategorized,0.00
"Colic, cure for",55,Uncategorized,0.00
"Carbuncles and boils, cure for",46,Uncategorized,0.00
"Cramp, cure for",45,Uncategorized,0.00
Cholera remedy,50,Uncategorized,0.00
"Cold, certain cure for a",47,Uncategorized,0.00
Catarrh,45,Uncategorized,0.00
"Colic in children, a cure for the",44,Uncategorized,0.00
Cold on the chest,45,Uncategorized,0.00
"Carpet, to remove ink from",76,Uncategorized,0.00
"Cholera and diarrhoea, cure for",64,Uncategorized,0.00
"Carbuncles and felons, cure for",49,Uncategorized,0.00
Coffeejelly,29,Uncategorized,0.00
Clean silk,79,Uncategorized,0.00
Cream puffs,10,Desserts,0.40
Cream puffs,91,Desserts,0.40
Croquettes,36,Sides,0.80
Chickenpie,33,Uncategorized,0.00
Drill holes in glass,79,Uncategorized,0.00
"Diphtheria, cure for",63,Uncategorized,0.00
Dominie's soft soap,78,Uncategorized,0.00
Drive flies from a room,79,Uncategorized,0.00
Destroy red spiders,79,Uncategorized,0.00
Dropsy,56,Uncategorized,0.00
Dyspepsia bitters,57,Uncategorized,0.00
"Diphtheria, cure for >",57,Uncategorized,0.00
"Dog bite, how to cure a",69,Uncategorized,0.00
"Diphtheria, cure for",58,Uncategorized,0.00
Dandruff cure for,64,Uncategorized,0.00
"Diarrhoea, cure for",61,Uncategorized,0.00
"Dropsy, a never-failing cure for",43,Uncategorized,0.00
Diphtheria,56,Uncategorized,0.00
"Diarrhoea, cure for",49,Uncategorized,0.00
Dyspepsia,56,Uncategorized,0.00
"Dysentary, cure for",53,Uncategorized,0.00
"Dropsy, cure for",53,Uncategorized,0.00
"Dyspepsia, cure for",52,Uncategorized,0.00
"Dropsy, certain cure for",50,Uncategorized,0.00
"Dyspepsia, cure for",51,Uncategorized,0.00
"Dyspepsia or soreness of the breast, cure for",55,Uncategorized,0.00
Drive mosquitoes from a room,75,Uncategorized,0.00
"Diphtheria, prevention of",68,Uncategorized,0.00
"Erysipelas, cure for",60,Uncategorized,0.00
"Eczema or scald head,cure for",54,Uncategorized,0.00
"Eruptions, pimples, &c, certain cure for",45,Uncategorized,0.00
"Erysipelas, cure for",57,Uncategorized,0.00
"Earache, cure for",61,Uncategorized,0.00
"Furniture, how to clean",77,Uncategorized,0.00
Furniture polish,73,Uncategorized,0.00
"Fever and ague, cure for",49,Uncategorized,0.00
"Felon and catarrh in the hand, cure for",48,Uncategorized,0.00
Fruitpuffs,93,Uncategorized,0.00
Fruitcake,13,Uncategorized,0.00
Florence puffs,2,Uncategorized,0.00
Fomentation,57,Uncategorized,0.00
German puffs,93,Uncategorized,0.00
"Gravel, or Bright's disease",65,Uncategorized,0.00
Golden ointment,74,Uncategorized,0.00
"Gloves, how to clean",74,Uncategorized,0.00
Gravel in horses,65,Uncategorized,0.00
"Gilt frames, how to renew",74,Uncategorized,0.00
Gingersnaps,15,Uncategorized,0.00
"Grip, cure for the",47,Uncategorized,0.00
Hints on confectionery,23,Uncategorized,0.00
"Heaves in horses, cure for",51,Uncategorized,0.00
"Hiccoughs, cure for",53,Uncategorized,0.00
"Hysterics, cure for",51,Uncategorized,0.00
"Headache and rheumatism, cure for",64,Uncategorized,0.00
"Heavy colds, cure for",63,Uncategorized,0.00
Horse powder,66,Uncategorized,0.00
Hair renewer,66,Uncategorized,0.00
Higdom,82,Uncategorized,0.00
"Headache and neuralgic pains, cure for",60,Uncategorized,0.00
Ivory harness polish,75,Uncategorized,0.00
Ink eradicator,76,Uncategorized,0.00
Ingrowing nails,66,Uncategorized,0.00
Tndian salve,66,Uncategorized,0.00
"Inward bleeding piles, cure for",58,Uncategorized,0.00
Jackson's itch ointment,67,Uncategorized,0.00
Jenny Lind,4,Uncategorized,0.00
Keep flies off gilt frames,80,Uncategorized,0.00
Lunch dish,37,Uncategorized,0.00
Lice in vines,74,Uncategorized,0.00
"Lung fever in horses, cure for",51,Uncategorized,0.00
"Lock-jaw, cure for",52,Uncategorized,0.00
Maccaroni a la creme,101,Uncategorized,0.00
Mahogany stains,76,Uncategorized,0.00
"Malarial fever, cure for",54,Uncategorized,0.00
"Mend China, how to",74,Uncategorized,0.00
"Moths, a preventive of",72,Uncategorized,0.00
"Malarial fever, cure for",51,Uncategorized,0.00
Mending rubber goods,73,Uncategorized,0.00
"Malaria, cure for",53,Uncategorized,0.00
"Malarial fever, cure for",62,Uncategorized,0.00
Neuralgia or toothache,67,Uncategorized,0.00
Neuralgia,67,Uncategorized,0.00
Nineoil,67,Uncategorized,0.00
Nerve ointment,67,Uncategorized,0.00
Omelet,34,Breakfast & Brunch,0.75
"Overcome by smoke, how to prevent being",70,Uncategorized,0.00
"Poisonous bites, how to treat",65,Uncategorized,0.00
"Paralytic stroke, cure for",58,Uncategorized,0.00
Pop-overs,19,Uncategorized,0.00
Prevent pumps from freezing,79,Uncategorized,0.00
Pie plant pie,87,Desserts,0.40
"Piles, cure for",51,Uncategorized,0.00
Prevent turners' wood splitting,77,Uncategorized,0.00
Physic for a horse,68,Uncategorized,0.00
Pearl water for the complexion,68,Uncategorized,0.00
"Poison, cure for",46,Uncategorized,0.00
"Piles, cure for",50,Uncategorized,0.00
"Piles, cure for",55,Uncategorized,0.00
"Poison, how to take out",70,Uncategorized,0.00
Pain con querer,71,Uncategorized,0.00
"Poison, cure for",61,Uncategorized,0.00
"Piles, cure for",63,Uncategorized,0.00
Pain in the side and breast,63,Uncategorized,0.00
Pearl water for the face,68,Uncategorized,0.00
Pennyroyal and potash,68,Uncategorized,0.00
"Piles, cure for",58,Uncategorized,0.00
"Pains or headache, cure for",58,Uncategorized,0.00
"Quinsy, cure for",63,Uncategorized,0.00
"Raw hides, how to tan",78,Uncategorized,0.00
"Rheumatism, cure for",50,Uncategorized,0.00
"Rheumatism, cure for",61,Uncategorized,0.00
"Rickets, cure for",62,Uncategorized,0.00
Rupture salve,69,Uncategorized,0.00
"Rheumatism, cure for",48,Uncategorized,0.00
"Rheumatism, cure for",62,Uncategorized,0.00
"Rheumatism, cure for",69,Uncategorized,0.00
"Rheumatism, cure for",49,Uncategorized,0.00
"Rheumatism, headache and neuralgia, cure for",64,Uncategorized,0.00
Sally lunn,4,Uncategorized,0.00
"Stop bleeding, how to",66,Uncategorized,0.00
"Sore eyes, cure for",51,Uncategorized,0.00
Salads,96,Salads,0.90
"Skins, how to tan",78,Uncategorized,0.00
"Silver ware, cleaning",73,Uncategorized,0.00
Soda cream =,76,Desserts,0.40
"Sores of long standing, how to cure",70,Uncategorized,0.00
"Scrofula or sore head, cure for",49,Uncategorized,0.00
Sauces,95,Sauces & Condiments,0.85
Stain wood the color of walnut,77,Uncategorized,0.00
"Sweet oil, how to purify",66,Uncategorized,0.00
Sore throat,69,Uncategorized,0.00
"Short winded horse, cure for a",60,Uncategorized,0.00
Silver wash,76,Uncategorized,0.00
"Sore mouth, cure for a",50,Uncategorized,0.00
Sprinkling plants,73,Uncategorized,0.00
Sore throat and mouth,69,Uncategorized,0.00
"Stop bleeding, how to",69,Uncategorized,0.00
"Swollen feet and pains of the skin, cure for",59,Uncategorized,0.00
"Sores, cure for",48,Uncategorized,0.00
"Staggers, cure for",51,Uncategorized,0.00
"Sting of a bee or wasp, cure for the",45,Uncategorized,0.00
Sur le plat,35,Uncategorized,0.00
"Sick stomach, cure for",59,Uncategorized,0.00
"Swollen neck, cure for",60,Uncategorized,0.00
"Stifle slipp'd horse, cure for a",60,Uncategorized,0.00
Splendid eye water,43,Uncategorized,0.00
Sauces,34,Sauces & Condiments,0.85
"Sprains or backache, cure for",46,Uncategorized,0.00
Spanish cream,32,Desserts,0.40
Sandwiches,38,Sides,0.60
Tomatocatsup,102,Uncategorized,0.00
Toast,38,Breads,0.55
"Toothache, cure for",59,Uncategorized,0.00
"Tape worms or seatworms, cure for",53,Uncategorized,0.00
Tooth powder,78,Uncategorized,0.00
"Tramping on a nail, cure for",48,Uncategorized,0.00
Tetter ointmeut,70,Uncategorized,0.00
"Toothache, cure for",60,Uncategorized,0.00
"Tetter, cure for",58,Uncategorized,0.00
"Tape worm and small worms, cure for",65,Uncategorized,0.00
Vinegar,105,Uncategorized,0.00
Velvet cream,32,Desserts,0.40
"White swelling, cure for",54,Uncategorized,0.00
Weak eyes,71,Uncategorized,0.00
"Worms, cure for",60,Uncategorized,0.00
"Whooping cough, a never-failing cure for",44,Uncategorized,0.00
Whitetaffy,28,Uncategorized,0.00
Walnut maccaroons,28,Uncategorized,0.00
Whooping cough cure,71,Uncategorized,0.00
"White swelling, cure for",49,Uncategorized,0.00
"White swelling, cure for",55,Uncategorized,0.00
"Yellow water, cure for",51,Uncategorized,0.00
